i,latency_ms,action_left,action_right
360,0.04278,-7.1822057,31.776772
361,0.044574,-14.316157,14.216222
362,0.052872,-89.33335,-130.49107
363,0.050256,-83.13951,-110.240944
364,0.043788,-10.521868,5.4421287
365,0.051615,-82.82328,-135.29233
366,0.044187,12.601792,25.834057
367,0.052016,-81.80801,-120.26618
368,0.043633,13.739784,23.289402
369,0.049892,-85.437164,-101.58447
370,0.045956,22.214548,-44.6415
371,0.044366,24.32544,9.533561
372,0.050867,-94.28956,-103.975426
373,0.051564,-83.64942,-121.53684
374,0.054806,-77.583336,-102.982254
375,0.044824,60.935013,-41.214737
376,0.04421,18.118984,-30.530617
377,0.043977,-20.388388,-2.9866793
378,0.050356,-80.76215,-101.06171
379,0.049753,-87.6551,-108.01726
380,0.049833,-84.722565,-105.32687
381,0.049281,-88.45453,-99.74461
382,0.053449,-97.7017,-104.12261
383,0.045665,-18.238344,-1.377125
384,0.053427,-69.62294,-129.49904
385,0.05302,-60.347157,-124.25699
386,0.05215,-50.52531,-120.86225
387,0.051081,-102.81333,-88.33532
388,0.053758,-85.546104,-118.2827
389,0.052336,-67.81544,-117.863365
390,0.050892,-79.15005,-108.200775
391,0.055832,-100.20403,-115.1222
392,0.057672,-62.659378,-117.192726
393,0.056383,-103.791695,-117.79558
394,0.05332,-74.945816,-128.06137
395,0.048232,-59.10591,-119.18619
396,0.050851,-102.7341,-96.24903
397,0.049568,-46.94625,-111.236206
398,0.055667,-105.07296,-143.06248
399,0.045736,-9.6447115,17.071089
400,0.047665,-11.112404,-41.14059
401,0.050982,-100.6969,-110.0724
402,0.046036,-11.888137,25.010004
403,0.049988,-76.20342,-115.805115
404,0.043137,38.89967,73.79306
405,0.049416,-61.545475,-114.66649
406,0.053209,-95.054596,-127.804924
407,0.049976,-83.51521,-111.4383
408,0.049551,-66.07195,-113.25695
409,0.053606,-115.763176,-95.73123
410,0.051293,-69.44037,-124.643326
411,0.046109,-3.4218626,12.4185
412,0.052543,-85.90293,-123.4845
413,0.047631,20.392452,-17.202082
414,0.047535,-28.690786,21.53717
415,0.051,-79.02551,-111.559494
416,0.053501,-91.3484,-132.04744
417,0.055753,-123.848526,-113.425316
418,0.055887,-99.09521,-119.88521
419,0.051715,-79.836655,-114.32147
420,0.055237,-119.48629,-97.105835
421,0.055521,-126.0713,-110.0518
422,0.046754,12.51077,-20.5832
423,0.055274,-99.72217,-119.16012
424,0.053417,-48.72026,-129.5848
425,0.052337,-63.63335,-122.23352
426,0.052624,-68.22058,-122.95565
427,0.057227,-82.19897,-112.3378
428,0.053575,-72.87413,-121.45613
429,0.052015,-66.31923,-120.6748
430,0.056264,-102.84544,-123.8428
431,0.051291,-69.40175,-114.47561
432,0.055708,-116.68226,-96.47152
433,0.051822,-76.4415,-114.62021
434,0.047083,-7.1609654,19.823267
435,0.047589,13.589393,-31.023802
436,0.051004,-74.64485,-118.25489
437,0.051439,-87.10497,-109.78099
438,0.05009,-62.351437,-114.76313
439,0.052284,-96.809235,-111.94079
440,0.046752,-15.386028,18.346169
441,0.052632,-70.77033,-111.08827
442,0.051186,-67.801254,-116.60639
443,0.051764,-73.30926,-113.995544
444,0.055986,-77.19009,-103.02741
445,0.05171,-87.2839,-109.7449
446,0.052096,-67.19169,-99.740685
447,0.049121,-83.68577,-108.63941
448,0.049043,-48.306057,-100.197784
449,0.049774,-23.748446,-100.19326
450,0.049084,-14.255105,-91.43365
451,0.050092,-71.75772,-78.292114
452,0.049762,-56.104244,-103.83597
453,0.048787,-49.09586,-106.21368
454,0.04925,-41.49333,-87.97429
455,0.049961,-73.67808,-84.76673
456,0.048626,-15.979977,-93.2946
457,0.04881,-63.431377,-108.16553
458,0.050282,-74.34364,-112.80794
459,0.048677,-29.99413,-85.71257
460,0.051088,-36.68504,-95.534325
461,0.049521,-16.656134,-103.88174
462,0.061763,-73.408066,-126.092705
463,0.052015,-41.057285,-87.111824
464,0.050555,-82.618835,-95.38124
465,0.049778,-74.99036,-90.545425
466,0.049627,1.6218549,-71.89608
467,0.048414,-59.023716,-123.146965
468,0.052471,-106.27526,-74.2517
469,0.050183,-82.53782,-111.95965
470,0.049958,-68.80742,-95.83979
471,0.049313,-72.16627,-107.10322
472,0.049492,-44.17133,-103.47451
473,0.051191,-75.99982,-99.59268
474,0.049552,-33.40513,-98.07993
475,0.050497,-76.40503,-61.409424
476,0.048015,-34.772945,-109.81564
477,0.049275,-99.80636,-68.148506
478,0.050706,-38.30669,-72.347725
479,0.050541,-89.082535,-98.14261
480,0.056284,-68.72373,-126.65355
481,0.052759,-80.91143,-119.70465
482,0.053084,-69.36154,-111.58743
483,0.052422,-66.762245,-119.19514
484,0.053459,-77.64453,-103.228096
485,0.053761,-77.09308,-110.99478
486,0.051765,-97.536125,-97.60336
487,0.05192,-74.653465,-93.68694
488,0.051881,-18.06933,-125.62897
489,0.051575,-42.07462,-111.6313
490,0.05139,-25.649307,-99.42791
491,0.050216,-67.54242,-113.55384
492,0.050452,-62.322723,-111.96519
493,0.049198,-7.305041,-88.87101
494,0.0514,-63.62234,-111.66628
495,0.049418,-29.848131,-104.51269
496,0.051827,-67.11477,-105.48428
497,0.05423,-66.016205,-114.27832
498,0.053726,-71.71018,-69.37264
499,0.053789,-117.0871,-93.91428
500,0.051394,-50.50852,-123.337776
501,0.051298,-51.207523,-99.58739
502,0.050831,-86.51342,-104.569954
503,0.050834,-80.22911,-84.84136
504,0.05267,-65.850075,-79.6243
505,0.048855,-45.55666,-101.66707
506,0.0492,-65.51292,-120.29265
507,0.048237,-39.799637,-104.29882
508,0.050082,-63.293034,-72.35394
509,0.049251,-83.663536,-115.38225
510,0.04621,-25.106375,-50.307644
511,0.048329,-33.861588,-108.58582
512,0.049837,-68.14768,-103.50826
513,0.047479,-11.936012,-60.464577
514,0.048333,-40.601463,-95.4942
515,0.053248,-29.473066,-40.67525
516,0.048748,-17.45115,-52.42193
517,0.049486,-80.20575,-89.49992
518,0.048195,-25.852993,-73.157295
519,0.049133,-30.41195,-39.20797
520,0.047897,-0.15322363,-59.45176
521,0.048551,12.283663,-66.49706
522,0.05023,-71.75146,-107.97103
523,0.048027,-17.229013,-36.39204
524,0.047909,6.7830176,-53.656662
525,0.048169,25.470497,-66.08192
526,0.050317,-37.50506,-86.819244
527,0.049884,-40.99961,-68.74001
528,0.049678,-44.37124,-75.95697
529,0.048912,-28.85682,-82.6117
530,0.050804,-44.509018,-53.19677
531,0.0498,-59.85196,-123.687744
532,0.050219,-68.772835,-71.18787
533,0.055624,-89.87887,-96.267334
534,0.050992,-17.768036,-60.069523
535,0.048917,-49.083553,-111.517
536,0.049328,3.1453197,-81.181305
537,0.049585,-52.737682,-62.859642
538,0.048614,-31.226591,-63.907303
539,0.051714,-40.30326,-58.890274
540,0.050292,-59.15385,-99.86392
541,0.049598,-77.34648,-46.047413
542,0.047064,2.4016566,-56.126255
543,0.048758,-64.37108,-106.303894
544,0.050388,-45.708664,-91.11308
545,0.0501,-62.40647,-82.25957
546,0.050051,-24.368216,-74.899124
547,0.050459,-94.07061,-107.24634
548,0.048259,-55.50284,-65.0912
549,0.050047,-41.596554,-77.50827
550,0.050166,-76.30631,-68.508156
551,0.054018,-32.617085,-72.27787
552,0.051442,24.679586,-70.73253
553,0.049258,-25.188866,-97.4975
554,0.047569,-20.95303,-64.445274
555,0.049013,-42.85961,-103.86341
556,0.049679,-31.524029,-95.4595
557,0.047368,7.3505893,-37.056915
558,0.047872,7.796654,-66.35385
559,0.049109,-17.744064,-70.86579
560,0.052217,-41.970436,-70.948875
561,0.050235,-81.52942,-108.974045
562,0.052716,-41.12329,-63.23616
563,0.053804,-82.03251,-80.74837
564,0.051138,-78.20035,-114.560745
565,0.050738,-39.061947,-91.93254
566,0.050575,-67.63879,-103.54893
567,0.049329,-0.06721442,-71.46163
568,0.051205,-34.159916,-87.99554
569,0.057193,-20.65574,-91.91711
570,0.05339,-95.84443,-107.7291
571,0.049299,-28.857761,-75.64712
572,0.050744,-58.080544,-60.01255
573,0.051277,-76.96097,-111.90896
574,0.047434,-5.457654,-20.1635
575,0.04858,-2.0283794,-62.98062
576,0.052922,-83.60133,-89.20585
577,0.049228,-22.027521,-25.687689
578,0.051372,-65.774925,-73.83681
579,0.049136,-18.349173,-10.97998
580,0.047922,-3.719468,-12.6318245
581,0.05073,-64.289246,-99.485146
582,0.049999,-14.43948,-58.79186
583,0.047994,-11.018245,4.6048536
584,0.050551,-63.55895,-59.679756
585,0.052801,-66.03497,-50.185875
586,0.051759,-63.531864,-98.913574
587,0.054062,-59.947826,-28.724361
588,0.053878,-58.64207,-58.818146
589,0.051214,-58.73796,-57.42196
590,0.050242,3.1594267,-60.408085
591,0.050191,-28.147665,-47.195652
592,0.050675,-18.815763,-53.685722
593,0.049296,27.039463,-63.408592
594,0.050511,-42.31732,-1.6830728
595,0.05078,-63.894203,-112.2558
596,0.049718,-26.804523,-47.899174
597,0.050353,-69.62371,-103.68574
598,0.049571,33.44136,-34.226765
599,0.051084,-51.963863,-109.79743
600,0.052775,-79.526115,-82.60005
601,0.050607,-3.6220024,-51.88047
602,0.050338,-69.06171,-75.184296
603,0.049361,-15.00539,-21.019
604,0.055224,-75.627846,-82.41455
605,0.051302,-7.5265603,-39.617645
606,0.051621,-70.5527,-26.030598
607,0.050067,-26.864899,-100.839294
608,0.051065,-35.823555,-73.52057
609,0.052373,-24.328114,-84.420555
610,0.048395,-7.9733047,-37.47637
611,0.050601,-78.06926,-112.475685
612,0.0514,-5.506007,-54.82117
613,0.05096,-17.004206,-68.460266
614,0.05053,-30.46913,-64.01134
